time_,read/joint_1,read/joint_2,read/joint_3,read/joint_4,read/joint_5,read/joint_6,read/joint_7,read/joint_8,read/joint_9,read/joint_10,read/joint_11,read/joint_12,read/joint_13,read/joint_14,read/joint_15,read/joint_16,read/joint_17,read/joint_18,read/joint_19,read/joint_20,read/joint_21,read/joint_22,read/joint_23,read/joint_24,read/joint_25,read/joint_26,read/joint_27,read/joint_28,read/joint_29,read/joint_30,read/joint_31,read/joint_32,read/joint_33,read/joint_34,read/joint_35,read/joint_36,read/joint_37,read/joint_38,read/joint_39,read/joint_40,read/joint_41
0.790689,-0.136552,0.081367,0.014546,-0.009381,0.525060,0.043997,-0.149127,0.074779,-0.005453,0.008916,0.525066,0.002894,0.010696,-0.071191,-0.104635,0.511930,-0.054711,-1.841204,-0.101988,0.456718,0.248409,0.576341,2.488624,-2.248239,-0.746450,0.769714,1.440324,1.209112,-1.290615,0.000141,-0.002909,0.000088,-0.003701,-0.004853,-0.009322,-0.000774,-0.000778,-0.000775,-0.000771,0.000598,0.060117
0.792640,-0.136553,0.081367,0.014547,-0.009383,0.525060,0.043996,-0.149130,0.074779,-0.005454,0.008918,0.525066,0.002891,0.010695,-0.071193,-0.104640,0.511931,-0.054712,-1.841198,-0.101976,0.456728,0.248404,0.576343,2.488621,-2.248243,-0.746452,0.769724,1.440274,1.209102,-1.290630,0.000465,-0.000661,-0.001422,0.002508,0.001647,0.002606,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.060128
0.794696,-0.136554,0.081367,0.014548,-0.009384,0.525060,0.043996,-0.149132,0.074779,-0.005454,0.008918,0.525066,0.002889,0.010696,-0.071194,-0.104642,0.511932,-0.054712,-1.841195,-0.101970,0.456732,0.248401,0.576344,2.488621,-2.248244,-0.746452,0.769726,1.440251,1.209099,-1.290633,0.000599,0.004155,-0.000507,0.003065,0.001289,0.003808,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.060133
0.796679,-0.136554,0.081367,0.014548,-0.009384,0.525060,0.043996,-0.149132,0.074779,-0.005454,0.008918,0.525066,0.002889,0.010696,-0.071194,-0.104642,0.511932,-0.054712,-1.841195,-0.101970,0.456732,0.248401,0.576344,2.488621,-2.248246,-0.746448,0.769726,1.440230,1.209099,-1.290632,0.000697,0.005069,0.002998,0.000599,-0.003982,-0.000660,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.060139
0.798677,-0.136554,0.081368,0.014551,-0.009385,0.525060,0.043997,-0.149134,0.074779,-0.005455,0.008919,0.525066,0.002887,0.010696,-0.071195,-0.104644,0.511932,-0.054711,-1.841193,-0.101964,0.456737,0.248399,0.576346,2.488624,-2.248246,-0.746448,0.769726,1.440230,1.209099,-1.290632,0.000697,0.005069,0.002998,0.000599,-0.003982,-0.000660,-0.000775,-0.000778,-0.000776,-0.000771,0.000599,0.060139
0.800668,-0.136555,0.081368,0.014551,-0.009384,0.525060,0.043997,-0.149133,0.074779,-0.005457,0.008917,0.525066,0.002885,0.010695,-0.071196,-0.104647,0.511932,-0.054711,-1.841190,-0.101958,0.456742,0.248397,0.576347,2.488626,-2.248249,-0.746444,0.769729,1.440210,1.209098,-1.290583,0.000663,0.002820,0.002891,-0.004320,-0.003140,0.001223,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060144
0.802666,-0.136556,0.081367,0.014547,-0.009385,0.525059,0.043996,-0.149133,0.074779,-0.005458,0.008916,0.525066,0.002883,0.010695,-0.071197,-0.104649,0.511932,-0.054711,-1.841187,-0.101952,0.456747,0.248394,0.576348,2.488627,-2.248252,-0.746440,0.769731,1.440193,1.209095,-1.290530,0.000602,-0.001913,-0.000115,-0.005508,0.002199,-0.002262,-0.000774,-0.000778,-0.000775,-0.000771,0.000599,0.060150
0.804650,-0.136557,0.081367,0.014542,-0.009384,0.525060,0.043995,-0.149133,0.074779,-0.005460,0.008915,0.525066,0.002881,0.010695,-0.071197,-0.104651,0.511932,-0.054711,-1.841184,-0.101946,0.456752,0.248392,0.576349,2.488628,-2.248252,-0.746439,0.769733,1.440169,1.209094,-1.290523,0.000664,-0.002945,0.000240,-0.003659,0.002064,-0.000120,-0.000774,-0.000778,-0.000775,-0.000771,0.000599,0.060155
0.806682,-0.136559,0.081367,0.014541,-0.009384,0.525060,0.043995,-0.149134,0.074779,-0.005461,0.008914,0.525066,0.002879,0.010695,-0.071198,-0.104653,0.511932,-0.054711,-1.841182,-0.101941,0.456757,0.248389,0.576350,2.488631,-2.248252,-0.746437,0.769734,1.440147,1.209093,-1.290515,0.000724,-0.001007,-0.002393,0.000602,-0.002821,0.001162,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060161
0.808656,-0.136560,0.081367,0.014542,-0.009384,0.525060,0.043995,-0.149135,0.074779,-0.005463,0.008914,0.525066,0.002877,0.010694,-0.071199,-0.104656,0.511932,-0.054711,-1.841179,-0.101935,0.456762,0.248387,0.576351,2.488630,-2.248254,-0.746438,0.769735,1.440127,1.209092,-1.290508,0.000771,0.003327,-0.001752,0.001124,-0.002165,-0.002757,-0.000775,-0.000778,-0.000775,-0.000771,0.000599,0.060166
